County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Autauga,Alabama,"55,869",594.44,91.8,37.2
Baldwin,Alabama,"223,234",1589.78,114.6,65.5
Barbour,Alabama,"24,686",884.88,31,13.4
Bibb,Alabama,"22,394",622.58,36.8,14.4
Blount,Alabama,"57,826",644.78,88.9,37
Bullock,Alabama,"10,101",622.8,17.5,7.2
Butler,Alabama,"19,448",776.83,27,12.8
Calhoun,Alabama,"113,605",605.87,195.7,88
Chambers,Alabama,"33,254",596.53,57.4,28.5
Cherokee,Alabama,"26,196",553.7,46.9,29.4
Chilton,Alabama,"44,428",692.85,63,27.8
Choctaw,Alabama,"12,589",913.5,15.2,8
Clarke,Alabama,"23,622",1238.46,20.9,10.2
Clay,Alabama,"13,235",603.96,23.1,11.2
Cleburne,Alabama,"14,910",560.1,26.7,12
Coffee,Alabama,"52,342",678.97,73.6,32.9
Colbert,Alabama,"55,241",592.62,91.8,43.5
Conecuh,Alabama,"12,067",850.16,15.6,8.3
Coosa,Alabama,"10,663",650.93,17.7,10
Covington,Alabama,"37,049",1030.46,36.6,18.3
Crenshaw,Alabama,"13,772",608.84,22.8,11.1
Cullman,Alabama,"83,768",734.84,109.4,50.4
Dale,Alabama,"49,172",561.15,89.6,40.4
Dallas,Alabama,"37,196",978.69,44.8,20.6
DeKalb,Alabama,"71,513",777.09,91.5,40
Elmore,Alabama,"81,209",618.48,128.2,52.8
Escambia,Alabama,"36,633",945.08,40.5,17.4
Etowah,Alabama,"102,268",534.99,195.2,88.7
Fayette,Alabama,"16,302",627.66,27.5,13.4
Franklin,Alabama,"31,362",633.82,50,22.1
Geneva,Alabama,"26,271",574.41,46.6,22.1
Greene,Alabama,"8,111",647.11,14,7.7
Hale,Alabama,"14,651",643.94,24.5,11.9
Henry,Alabama,"17,205",561.75,30.8,15.8
Houston,Alabama,"105,882",579.82,175.1,78.2
Jackson,Alabama,"51,626",1077.87,49.4,23
Jefferson,Alabama,"658,573",1111.28,592.5,270.5
Lamar,Alabama,"13,805",604.85,24.1,12.2
Lauderdale,Alabama,"92,729",667.7,138.8,65.6
Lawrence,Alabama,"32,924",690.68,49.7,22
Lee,Alabama,"164,542",607.54,230.8,102.7
Limestone,Alabama,"98,915",559.94,147.8,62.5
Lowndes,Alabama,"9,726",715.91,15.8,7.2
Macon,Alabama,"18,068",608.89,35.2,16.8
Madison,Alabama,"372,909",801.59,417.7,182.7
Marengo,Alabama,"18,863",976.88,21.5,10.5
Marion,Alabama,"29,709",742.29,41.5,19.9
Marshall,Alabama,"96,774",565.84,164.4,71.3
Mobile,Alabama,"413,210",1229.44,335.9,144.9
Monroe,Alabama,"20,733",1025.67,22.5,11
Montgomery,Alabama,"226,486",784.25,292.5,129.6
Morgan,Alabama,"119,679",579.34,206.3,88.4
Perry,Alabama,"8,923",719.66,14.7,6.6
Pickens,Alabama,"19,930",881.41,22.4,10.8
Pike,Alabama,"33,114",672.09,48.9,22.7
Randolph,Alabama,"22,722",580.55,39.5,20.6
Russell,Alabama,"57,961",641.14,82.6,38.4
St. Clair,Alabama,"89,512",631.9,132.3,56.2
Shelby,Alabama,"217,702",784.93,248.5,103.2
Sumter,Alabama,"12,427",903.89,15.2,7.5
Talladega,Alabama,"79,978",736.78,111.7,50.3
Tallapoosa,Alabama,"40,367",716.52,58.1,30.9
Tuscaloosa,Alabama,"209,355",1321.75,147.3,64.2
Walker,Alabama,"63,521",791.19,84.7,38.9
Washington,Alabama,"16,326",1080.21,16.3,7.8
Wilcox,Alabama,"10,373",888.5,13.1,6.4
Winston,Alabama,"23,629",612.98,39.9,22
Aleutians East Borough,Alaska,"3,337",6981.94,0.4,0.1
Aleutians West Census Area,Alaska,"5,634",4390.28,1.3,0.4
Anchorage,Alaska,"288,000",1704.68,171.2,66.3
Bethel Census Area,Alaska,"18,386",40570,0.4,0.1
Bristol Bay Borough,Alaska,836,503.84,2,1.9
Denali Borough,Alaska,"2,097",12751.41,0.1,0.1
Dillingham Census Area,Alaska,"4,916",18568.78,0.3,0.1
Fairbanks North Star Borough,Alaska,"96,849",7338.21,13.3,5.7
Haines Borough,Alaska,"2,530",2318.6,1.1,0.7
Hoonah-Angoon Census Area,Alaska,"2,148",7524.91,0.3,0.2
Juneau City and Borough,Alaska,"31,974",2701.93,11.6,4.8
Kenai Peninsula Borough,Alaska,"58,708",16075.33,3.4,1.9
Ketchikan Gateway Borough,Alaska,"13,901",4858.41,2.8,1.3
Kodiak Island Borough,Alaska,"12,998",6549.58,2.1,0.8
Kusilvak Census Area,Alaska,"8,314",23652.01,0.1,0.1
Lake and Peninsula Borough,Alaska,"1,592",24607.9,3.6,1.7
Matanuska-Susitna Borough,Alaska,"108,317",22961.76,0.4,0.2
Nome Census Area,Alaska,"10,004",88695.41,0.1,0
North Slope Borough,Alaska,"9,832",35572.58,0.2,0.1
Northwest Arctic Borough,Alaska,"7,621",3281.98,1.2,0.6
Petersburg Borough,Alaska,"3,266",3922.87,1.4,0.8
Prince of Wales-Hyder Census Area,Alaska,"6,203",2870.34,3.1,1.4
Sitka City and Borough,Alaska,"8,493",452.32,2.1,1.4
Skagway Municipality,Alaska,"1,183",24768.81,0.3,0.2
Southeast Fairbanks Census Area,Alaska,"6,893",34239.88,0.3,0.2
Valdez-Cordova Census Area,Alaska,"9,202",17081.43,0.4,0.1
Wrangell City and Borough,Alaska,"2,502",2541.48,0.9,0.6
Yakutat City and Borough,Alaska,579,7649.46,0.1,0.1
Yukon-Koyukuk Census Area,Alaska,"5,230",145504.79,0,0
Apache,Arizona,"71,887",11197.52,6.4,2.9
Cochise,Arizona,"125,922",6165.69,21.3,9.6
Coconino,Arizona,"143,476",18618.89,7.2,3.4
Gila,Arizona,"54,018",4757.93,11.3,6.9
Graham,Arizona,"38,837",4622.6,8.1,2.8
Greenlee,Arizona,"9,498",1843.13,4.6,2.4
La Paz,Arizona,"21,108",4499.63,4.6,3.6
Maricopa,Arizona,"4,485,414",9200.14,414.9,178.2
Mohave,Arizona,"212,181",13311.08,15,8.3
Navajo,Arizona,"110,924",9950.42,10.8,5.7
Pima,Arizona,"1,047,279",9187.04,106.7,48
Pinal,Arizona,"462,789",5365.61,70,29.7
Santa Cruz,Arizona,"46,498",1236.92,38.3,14.6
Yavapai,Arizona,"235,099",8123.5,26,13.6
Yuma,Arizona,"213,787",5513.99,35.5,15.9
Arkansas,Arkansas,"17,486",988.77,19.2,9.5
Ashley,Arkansas,"19,657",925.35,23.6,11
Baxter,Arkansas,"41,932",554.28,74.9,40.7
Benton,Arkansas,"279,141",847.36,261.2,109.9
Boone,Arkansas,"37,432",590.23,62.5,28.5
Bradley,Arkansas,"10,763",649.23,17.7,9
Calhoun,Arkansas,"5,189",628.58,8.5,4.6
Carroll,Arkansas,"28,380",630.09,43.6,21.5
Chicot,Arkansas,"10,118",644.3,18.3,8.4
Clark,Arkansas,"22,320",866.07,26.6,12
Clay,Arkansas,"14,551",639.46,25.2,12.6
Cleburne,Arkansas,"24,919",553.69,46.9,28.6
Cleveland,Arkansas,"7,956",597.78,14.5,6.8
Columbia,Arkansas,"23,457",766.05,32.1,15.1
Conway,Arkansas,"20,846",552.25,38.5,17.6
Craighead,Arkansas,"110,332",707.21,136.4,57.3
Crawford,Arkansas,"63,257",593.09,104.4,44
Crittenden,Arkansas,"47,955",609.76,83.5,35.2
Cross,Arkansas,"16,419",616.38,29,12.7
Dallas,Arkansas,"7,009",667.39,12.2,6.5
Desha,Arkansas,"11,361",768.15,16.9,8.2
Drew,Arkansas,"18,219",828.36,22.3,10.2
Faulkner,Arkansas,"126,007",647.88,174.8,71.9
Franklin,Arkansas,"17,715",608.86,29.8,13.2
Fulton,Arkansas,"12,477",618.19,19.8,11
Garland,Arkansas,"99,386",677.78,141.7,74.6
Grant,Arkansas,"18,265",631.81,28.3,12.3
Greene,Arkansas,"45,325",577.7,72.9,31
Hempstead,Arkansas,"21,532",727.52,31.1,14.3
Hot Spring,Arkansas,"33,771",615.2,53.5,23.3
Howard,Arkansas,"13,202",588.55,23.4,10.6
Independence,Arkansas,"37,825",763.95,48,21.2
Izard,Arkansas,"13,629",580.58,23.6,12.5
Jackson,Arkansas,"16,719",633.94,28.4,12
Jefferson,Arkansas,"66,824",870.75,88.9,37.9
Johnson,Arkansas,"26,578",659.8,38.7,17.1
Lafayette,Arkansas,"6,624",528.27,14.5,8.2
Lawrence,Arkansas,"16,406",587.61,29.6,13.6
Lee,Arkansas,"8,857",602.62,17.3,7.2
Lincoln,Arkansas,"13,024",561.52,25.2,8.7
Little River,Arkansas,"12,259",532.25,24.7,12.1
Logan,Arkansas,"21,466",708.12,31.6,14.3
Lonoke,Arkansas,"73,309",770.73,88.7,35.3
Madison,Arkansas,"16,576",834.26,18.8,9
Marion,Arkansas,"16,694",597.01,27.9,15.7
Miller,Arkansas,"43,257",625.58,69.5,30.8
Mississippi,Arkansas,"40,651",900.57,51.6,22.7
Monroe,Arkansas,"6,701",607.12,13.4,7.3
Montgomery,Arkansas,"8,986",779.88,12.2,7.4
Nevada,Arkansas,"8,252",617.84,14.6,7.4
Newton,Arkansas,"7,753",820.9,10.1,5.7
Ouachita,Arkansas,"23,382",732.78,35.6,17.9
Perry,Arkansas,"10,455",551.4,18.9,8.9
Phillips,Arkansas,"17,782",695.66,31.3,14.6
Pike,Arkansas,"10,718",600.62,18.8,9.3
Poinsett,Arkansas,"23,528",758.39,32.4,14.4
Polk,Arkansas,"19,964",857.68,24.1,11.7
Pope,Arkansas,"64,072",812.55,76,31.4
Prairie,Arkansas,"8,062",647.96,13.4,6.9
Pulaski,Arkansas,"391,911",759.76,503.8,231.1
Randolph,Arkansas,"17,958",652.19,27.6,13.1
St. Francis,Arkansas,"24,994",634.77,44.5,17.2
Saline,Arkansas,"122,437",723.6,148,61.9
Scott,Arkansas,"10,281",892.32,12.6,5.8
Searcy,Arkansas,"7,881",666.09,12.3,7.4
Sebastian,Arkansas,"127,827",531.91,236.4,102.7
Sevier,Arkansas,"17,007",565.13,30.2,12.2
Sharp,Arkansas,"17,442",604.44,28.6,16.2
Stone,Arkansas,"12,506",606.4,20.4,11.1
Union,Arkansas,"38,682",1039.21,40.1,18.9
Van Buren,Arkansas,"16,545",708.14,24.4,14.6
Washington,Arkansas,"239,187",941.97,215.6,93.2
White,Arkansas,"78,753",1035.08,74.5,31.4
Woodruff,Arkansas,"6,320",586.79,12.4,6.6
Yell,Arkansas,"21,341",929.98,23.9,10.5
Alameda,California,"1,671,329",739.02,2043.6,788.3
Alpine,California,"1,129",738.33,1.6,2.4
Amador,California,"39,752",594.58,64.1,30.3
Butte,California,"219,186",1636.46,134.4,58.6
Calaveras,California,"45,905",1020.01,44.7,27.4
Colusa,California,"21,547",1150.73,18.6,6.9
Contra Costa,California,"1,153,526",715.94,1465.2,559.1
Del Norte,California,"27,812",1006.37,28.4,11.1
El Dorado,California,"192,843",1707.88,106,51.6
Fresno,California,"999,101",5957.99,156.2,53
Glenn,California,"28,393",1313.95,21.4,8.2
Humboldt,California,"135,558",3567.99,37.7,17.3
Imperial,California,"181,215",4176.6,41.8,13.4
Inyo,California,"18,039",10180.88,1.8,0.9
Kern,California,"900,202",8131.92,103.3,35
Kings,California,"152,940",1389.42,110.1,31.6
Lake,California,"64,386",1256.46,51.5,28.2
Lassen,California,"30,573",4541.18,7.7,2.8
Los Angeles,California,"10,039,107",4057.88,2419.6,849
Madera,California,"157,327",2137.07,70.6,23
Marin,California,"258,826",520.31,485.1,213.7
Mariposa,California,"17,203",1448.82,12.6,7
Mendocino,California,"86,749",3506.34,25.1,11.5
Merced,California,"277,680",1934.97,132.2,43.3
Modoc,California,"8,841",3917.77,2.5,1.3
Mono,California,"14,444",3048.98,4.7,4.6
Monterey,California,"434,061",3280.6,126.5,42.4
Napa,California,"137,744",748.36,182.4,73.2
Nevada,California,"99,755",957.77,103.1,54.9
Orange,California,"3,175,692",790.57,3807.7,1326.8
Placer,California,"398,329",1407.01,247.6,108.5
Plumas,California,"18,807",2553.04,7.8,6.1
Riverside,California,"2,470,546",7206.48,303.8,111.1
Sacramento,California,"1,552,058",964.64,1470.8,576.3
San Benito,California,"62,808",1388.71,39.8,12.9
San Bernardino,California,"2,180,085",20056.94,101.5,34.9
San Diego,California,"3,338,330",4206.63,735.8,276.9
San Francisco,California,"881,549",46.87,17179.2,8041.8
San Joaquin,California,"762,148",1391.32,492.6,168
San Luis Obispo,California,"283,111",3298.57,81.7,35.6
San Mateo,California,"766,573",448.41,1602.2,604.4
Santa Barbara,California,"446,499",2735.09,155,55.9
Santa Clara,California,"1,927,852",1290.1,1381,489.8
Santa Cruz,California,"273,213",445.17,589.4,234.7
Shasta,California,"180,080",3775.4,46.9,20.5
Sierra,California,"3,005",953.21,3.4,2.4
Siskiyou,California,"43,539",6277.89,7.2,3.8
Solano,California,"447,643",821.76,503,185.8
Sonoma,California,"494,336",1575.85,307.1,129.8
Stanislaus,California,"550,660",1494.83,344.2,120.1
Sutter,California,"96,971",602.41,157.3,56.2
Tehama,California,"65,084",2949.71,21.5,9.1
Trinity,California,"12,285",3179.25,4.3,2.7
Tulare,California,"466,195",4824.21,91.7,29.4
Tuolumne,California,"54,478",2220.88,24.9,14.1
Ventura,California,"846,006",1843.13,446.7,152.8
Yolo,California,"220,500",1014.69,197.9,74
Yuba,California,"78,668",631.84,114.2,43.7
Adams,Colorado,"517,421",1167.65,378.2,139.7
Alamosa,Colorado,"16,233",722.64,21.4,9.1
Arapahoe,Colorado,"656,590",798.1,716.7,298.6
Archuleta,Colorado,"14,029",1350.18,8.9,6.5
Baca,Colorado,"3,581",2554.97,1.5,0.9
Bent,Colorado,"5,577",1512.86,4.3,1.5
Boulder,Colorado,"326,196",726.29,405.6,175
Broomfield,Colorado,"70,465",33.03,1691.9,685.5
Chaffee,Colorado,"20,356",1013.4,17.6,9.9
Cheyenne,Colorado,"1,831",1778.28,1,0.5
Clear Creek,Colorado,"9,700",395.23,23,14.4
Conejos,Colorado,"8,205",1287.39,6.4,3.3
Costilla,Colorado,"3,887",1226.95,2.9,2.1
Crowley,Colorado,"6,061",787.42,7.4,2
Custer,Colorado,"5,068",738.63,5.8,5.4
Delta,Colorado,"31,162",1142.05,27.1,12.8
Denver,Colorado,"727,211",153,3922.6,1868
Dolores,Colorado,"2,055",1067.05,1.9,1.4
Douglas,Colorado,"351,154",840.25,339.7,127.2
Eagle,Colorado,"55,127",1684.53,31,18.6
Elbert,Colorado,"26,729",1850.85,12.5,4.8
El Paso,Colorado,"720,403",2126.8,292.6,118.9
Fremont,Colorado,"47,839",1533.07,30.5,12.6
Garfield,Colorado,"60,061",2947.56,19.1,7.9
Gilpin,Colorado,"6,243",149.9,36.3,23.7
Grand,Colorado,"15,734",1846.33,8,8.7
Gunnison,Colorado,"17,462",3239.1,4.7,3.5
Hinsdale,Colorado,820,1117.25,0.8,1.2
Huerfano,Colorado,"6,897",1591,4.2,3.2
Jackson,Colorado,"1,392",1613.72,0.9,0.8
Jefferson,Colorado,"582,881",764.21,699.5,300.9
Kiowa,Colorado,"1,406",1767.77,0.8,0.5
Kit Carson,Colorado,"7,097",2160.82,3.8,1.6
Lake,Colorado,"8,127",376.91,19.4,11.3
La Plata,Colorado,"56,221",1692.08,30.3,15.3
Larimer,Colorado,"356,899",2596,115.4,51.1
Las Animas,Colorado,"14,506",4772.67,3.2,1.7
Lincoln,Colorado,"5,701",2577.63,2.1,0.9
Logan,Colorado,"22,409",1838.55,12.4,4.9
Mesa,Colorado,"154,210",3328.97,44.1,18.8
Mineral,Colorado,769,875.67,0.8,1.4
Moffat,Colorado,"13,283",4743.29,2.9,1.3
Montezuma,Colorado,"26,183",2029.53,12.6,6
Montrose,Colorado,"42,758",2240.7,18.4,8.1
Morgan,Colorado,"29,068",1280.43,22,9
Otero,Colorado,"18,278",1261.96,14.9,7.1
Ouray,Colorado,"4,952",541.59,8.2,5.7
Park,Colorado,"18,845",2193.85,7.4,6.4
Phillips,Colorado,"4,265",687.93,6.5,3
Pitkin,Colorado,"17,767",970.7,17.7,13.3
Prowers,Colorado,"12,172",1638.39,7.7,3.6
Pueblo,Colorado,"168,424",2386.1,66.7,29.1
Rio Blanco,Colorado,"6,324",3220.93,2.1,1
Rio Grande,Colorado,"11,267",911.96,13.1,7.3
Routt,Colorado,"25,638",2362.03,10,6.9
Saguache,Colorado,"6,824",3168.52,1.9,1.2
San Juan,Colorado,728,387.49,1.8,2
San Miguel,Colorado,"8,179",1286.61,5.7,5.2
Sedgwick,Colorado,"2,248",548.04,4.3,2.6
Summit,Colorado,"31,011",608.36,46,49.1
Teller,Colorado,"25,388",557.06,41.9,22.7
Washington,Colorado,"4,908",2518.03,1.9,1
Weld,Colorado,"324,492",3987.24,63.4,24.1
Yuma,Colorado,"10,019",2364.4,4.2,1.9
Fairfield,Connecticut,"943,332",624.89,1467.2,578.1
Hartford,Connecticut,"891,720",735.1,1216.2,509.1
Litchfield,Connecticut,"180,333",920.56,206.3,95.1
Middlesex,Connecticut,"162,436",369.3,448.6,202.6
New Haven,Connecticut,"854,757",604.51,1426.7,598.8
New London,Connecticut,"265,206",664.88,412.2,182
Tolland,Connecticut,"150,721",410.21,372.2,141.3
Windham,Connecticut,"116,782",512.91,230.9,95.7
Kent,Delaware,"180,786",586.18,276.9,111.5
New Castle,Delaware,"558,753",426.29,1263.2,510.2
Sussex,Delaware,"234,225",936.08,210.6,131.4
District of Columbia,District of Columbia,"705,749",61.05,9856.5,4860.4
Alachua,Florida,"269,043",875.02,282.7,128.9
Baker,Florida,"29,210",585.23,46.3,16.6
Bay,Florida,"174,705",758.46,222.6,131.4
Bradford,Florida,"28,201",293.96,97,37.5
Brevard,Florida,"601,942",1015.66,535,265.7
Broward,Florida,"1,952,778",1209.79,1444.9,669.9
Calhoun,Florida,"14,105",567.33,25.8,10.6
Charlotte,Florida,"188,910",680.28,235.2,147.9
Citrus,Florida,"149,657",581.7,242.8,134.1
Clay,Florida,"219,252",604.36,315.8,124.9
Collier,Florida,"384,902",1998.32,160.9,98.7
Columbia,Florida,"71,686",797.57,84.7,35.9
DeSoto,Florida,"38,001",637.06,54.7,22.9
Dixie,Florida,"16,826",705.05,23.3,13.2
Duval,Florida,"957,755",762.19,1133.9,509.7
Escambia,Florida,"318,316",656.46,453.4,208.2
Flagler,Florida,"115,081",485.46,197.1,100.1
Franklin,Florida,"12,125",534.72,21.6,16.2
Gadsden,Florida,"45,660",516.33,89.8,37.8
Gilchrist,Florida,"18,582",349.68,48.4,20.9
Glades,Florida,"13,811",806.01,16,8.7
Gulf,Florida,"13,639",564.01,28.1,16.2
Hamilton,Florida,"14,428",513.79,28.8,11.2
Hardee,Florida,"26,937",637.78,43.5,15.2
Hendry,Florida,"42,022",1152.75,34,12.6
Hernando,Florida,"193,920",472.54,365.6,178.8
Highlands,Florida,"106,221",1016.61,97.2,54.5
Hillsborough,Florida,"1,471,968",1020.21,1204.9,525.5
Holmes,Florida,"19,617",478.78,41.6,18
Indian River,Florida,"159,923",502.87,274.5,151.8
Jackson,Florida,"46,414",917.76,54.2,22.9
Jefferson,Florida,"14,246",598.1,24.7,11.1
Lafayette,Florida,"8,422",543.41,16.3,6.1
Lake,Florida,"367,118",938.38,316.6,154.5
Lee,Florida,"770,577",784.51,788.7,473
Leon,Florida,"293,582",666.85,413.1,186.2
Levy,Florida,"41,503",1118.21,36.5,18
Liberty,Florida,"8,354",835.56,10,4
Madison,Florida,"18,493",695.95,27.6,12.2
Manatee,Florida,"403,253",742.93,434.5,232.4
Marion,Florida,"365,579",1584.55,209.1,103.5
Martin,Florida,"161,000",543.46,269.2,143.8
Miami-Dade,Florida,"2,716,940",1897.72,1315.5,521.4
Monroe,Florida,"74,228",983.28,74.3,53.7
Nassau,Florida,"88,625",648.64,113,54
Okaloosa,Florida,"210,738",930.25,194.4,99.3
Okeechobee,Florida,"42,168",768.91,52,24.1
Orange,Florida,"1,393,452",903.43,1268.5,540
Osceola,Florida,"375,751",1327.45,202.4,96.6
Palm Beach,Florida,"1,496,770",1969.76,670.2,337.4
Pasco,Florida,"553,947",746.89,622.2,306.5
Pinellas,Florida,"974,996",273.8,3347.5,1839.4
Polk,Florida,"724,777",1797.84,334.9,156.4
Putnam,Florida,"74,521",727.62,102.2,51.3
St. Johns,Florida,"264,672",600.66,316.4,149.6
St. Lucie,Florida,"328,297",571.93,485.7,239.6
Santa Rosa,Florida,"184,313",1011.6,149.6,64
Sarasota,Florida,"433,742",555.87,682.6,410.9
Seminole,Florida,"471,826",309.22,1367,586.3
Sumter,Florida,"132,420",546.93,170.8,97
Suwannee,Florida,"44,417",688.55,60.3,27.8
Taylor,Florida,"21,569",1043.31,21.6,10.5
Union,Florida,"15,237",243.56,63.8,18.5
Volusia,Florida,"553,284",1101.03,449.2,230.9
Wakulla,Florida,"33,739",606.42,50.8,21.1
Walton,Florida,"74,071",1037.62,53,43.5
Washington,Florida,"25,473",582.8,42.7,18.5
Appling,Georgia,"18,386",507.08,36,16.8
Atkinson,Georgia,"8,165",339.38,24.7,10.4
Bacon,Georgia,"11,164",258.58,42.9,18.6
Baker,Georgia,"3,038",341.94,10.1,4.8
Baldwin,Georgia,"44,890",257.84,177.3,78.2
Banks,Georgia,"19,234",232.09,79.3,32.7
Barrow,Georgia,"83,240",160.31,432.7,164.7
Bartow,Georgia,"107,738",459.54,217.9,86.7
Ben Hill,Georgia,"16,700",250.12,70.5,31.8
Berrien,Georgia,"19,397",451.9,42.7,19.3
Bibb,Georgia,"153,159",249.76,622.8,278.9
Bleckley,Georgia,"12,873",215.87,60.5,24.6
Brantley,Georgia,"19,109",442.36,41.6,18.3
Brooks,Georgia,"15,457",493.05,32.9,15.6
Bryan,Georgia,"39,627",435.97,69.3,27.2
Bulloch,Georgia,"79,608",672.81,104.4,42.8
Burke,Georgia,"22,383",826.97,28.2,11.9
Butts,Georgia,"24,936",184.39,128.3,50.7
Calhoun,Georgia,"6,189",280.37,23.9,8.6
Camden,Georgia,"54,666",613.03,82.4,34.4
Candler,Georgia,"10,803",243.04,45.3,19.6
Carroll,Georgia,"119,992",499.08,221.5,89.4
Catoosa,Georgia,"67,580",162.16,394.3,164.1
Charlton,Georgia,"13,392",773.58,15.7,5.8
Chatham,Georgia,"289,430",426.44,621.7,279.8
Chattahoochee,Georgia,"10,907",248.74,45.3,13.6
Chattooga,Georgia,"24,789",313.34,83,35
Cherokee,Georgia,"258,773",421.67,508.3,195.3
Clarke,Georgia,"128,331",119.2,979.1,428.4
Clay,Georgia,"2,834",195.38,16.3,10.8
Clayton,Georgia,"292,256",141.57,1832.5,739.6
Clinch,Georgia,"6,618",800.22,8.5,3.8
Cobb,Georgia,"760,141",339.55,2026.4,843.7
Coffee,Georgia,"43,273",575.1,73.7,29.7
Colquitt,Georgia,"45,600",544.15,83.6,33.7
Columbia,Georgia,"156,714",290.09,427.6,167.6
Cook,Georgia,"17,270",227.16,75.8,32.1
Coweta,Georgia,"148,509",440.89,288.8,113.8
Crawford,Georgia,"12,404",324.89,38.9,16.3
Crisp,Georgia,"22,372",272.58,86,39.4
Dade,Georgia,"16,116",173.98,95.6,42
Dawson,Georgia,"26,108",210.83,105.9,49.4
Decatur,Georgia,"26,404",597.14,46.6,20.3
DeKalb,Georgia,"759,297",267.58,2585.7,1139.7
Dodge,Georgia,"20,605",495.89,44,19.9
Dooly,Georgia,"13,390",391.94,38.1,16.1
Dougherty,Georgia,"87,956",328.69,287.7,124.1
Douglas,Georgia,"146,343",200.07,661.8,258.3
Early,Georgia,"10,190",512.59,21.5,9.7
Echols,Georgia,"4,006",414.89,9.7,3.8
Effingham,Georgia,"64,296",477.7,109.4,41.6
Elbert,Georgia,"19,194",351.06,57.4,27.3
Emanuel,Georgia,"22,646",680.6,33.2,14.6
Evans,Georgia,"10,654",182.85,60.2,25.5
Fannin,Georgia,"26,188",386.72,61.2,41.9
Fayette,Georgia,"114,421",194.34,548.3,209.9
Floyd,Georgia,"98,498",509.91,188.9,79.5
Forsyth,Georgia,"244,252",224.02,783.5,285.9
Franklin,Georgia,"23,349",261.5,84.5,40.4
Fulton,Georgia,"1,063,937",526.63,1748,830
Gilmer,Georgia,"31,369",426.54,66.3,38.8
Glascock,Georgia,"2,971",143.74,21.4,10.6
Glynn,Georgia,"85,292",419.75,189.7,97
Gordon,Georgia,"57,963",355.81,155.1,62.6
Grady,Georgia,"24,633",454.53,55,23.7
Greene,Georgia,"18,324",387.44,41.3,22.4
Gwinnett,Georgia,"936,250",430.38,1871.2,677.4
Habersham,Georgia,"45,328",276.74,155.5,65.6
Hall,Georgia,"204,441",392.78,457.5,175.2
Hancock,Georgia,"8,457",471.84,20,11.4
Haralson,Georgia,"29,792",282.17,102,43.5
Harris,Georgia,"35,236",463.87,69,28.9
Hart,Georgia,"26,205",232.39,108.5,56
Heard,Georgia,"11,923",296.03,40,17.4
Henry,Georgia,"234,561",322.13,633,237.6
Houston,Georgia,"157,863",375.54,372.5,155.3
Irwin,Georgia,"9,416",354.34,26.9,11.4
Jackson,Georgia,"72,977",339.66,178.1,69.9
Jasper,Georgia,"14,219",368.16,37.8,16.7
Jeff Davis,Georgia,"15,115",330.74,45.6,19.6
Jefferson,Georgia,"15,362",526.48,32.2,13.9
Jenkins,Georgia,"8,676",347.28,24,12.2
Johnson,Georgia,"9,643",303.01,32.9,13.6
Jones,Georgia,"28,735",393.93,72.8,29.7
Lamar,Georgia,"19,077",183.5,99.8,40.7
Lanier,Georgia,"10,423",185.26,54.4,22.9
Laurens,Georgia,"47,546",807.3,60,26.5
Lee,Georgia,"29,992",355.78,79.5,28.9
Liberty,Georgia,"61,435",489.8,129.5,54.6
Lincoln,Georgia,"7,921",210.38,38,22.7
Long,Georgia,"19,559",400.29,36.1,15.1
Lowndes,Georgia,"117,406",496.07,220.2,88.5
Lumpkin,Georgia,"33,610",282.93,105.9,45.7
McDuffie,Georgia,"21,312",257.46,85,36.2
McIntosh,Georgia,"14,378",424.3,33.8,21.7
Macon,Georgia,"12,947",400.64,36.8,15.3
Madison,Georgia,"29,880",282.31,99.6,41.7
Marion,Georgia,"8,359",366,23.9,11.4
Meriwether,Georgia,"21,167",501.22,43.9,19.9
Miller,Georgia,"5,718",282.42,21.7,9.9
Mitchell,Georgia,"21,863",512.08,45.9,17.6
Monroe,Georgia,"27,578",395.66,66.8,27.1
Montgomery,Georgia,"9,172",239.52,38.1,16.4
Morgan,Georgia,"19,276",347.35,51.4,21.5
Murray,Georgia,"40,096",344.47,115,46.4
Muscogee,Georgia,"195,769",216.39,877.5,382.1
Newton,Georgia,"111,744",272.16,367.3,140.9
Oconee,Georgia,"40,280",184.29,178,67.2
Oglethorpe,Georgia,"15,259",439.01,33.9,14.8
Paulding,Georgia,"168,667",312.22,455.8,167
Peach,Georgia,"27,546",150.27,184.3,73.5
Pickens,Georgia,"32,591",232.06,126.8,59
Pierce,Georgia,"19,465",316.49,59.3,25.2
Pike,Georgia,"18,962",216.09,82.7,31.6
Polk,Georgia,"42,613",310.33,133.6,54.5
Pulaski,Georgia,"11,137",249.03,48.2,20.7
Putnam,Georgia,"22,119",344.64,61.6,37.2
Quitman,Georgia,"2,299",151.24,16.6,13.5
Rabun,Georgia,"17,137",369.99,44,33.3
Randolph,Georgia,"6,778",428.24,18,9.7
Richmond,Georgia,"202,518",324.33,618.4,266.2
Rockdale,Georgia,"90,896",129.79,656.5,256.3
Schley,Georgia,"5,257",166.91,30,13.2
Screven,Georgia,"13,966",645.1,22.6,10.4
Seminole,Georgia,"8,090",235.23,37.1,20.4
Spalding,Georgia,"66,703",196.47,326.1,136.3
Stephens,Georgia,"25,925",179.13,146.1,70.7
Stewart,Georgia,"6,621",458.73,13.2,5.2
